id,name
123737120,Senior Data Scientist
123638467,Научный сотрудник / программист - математик / ML researcher / DL engineer
121996561,ML инженер (Early Drug Discovery)
123337370,Senior Data Scientist/ML Engineer
123664417,ML engineer
123532736,Quantitative Researcher
123329615,GenAI Researcher
122968745,Data Scientist в команду автоматизации
122985801,Data Scientist
122368380,ML-инженер (команда Рекомендаций)
122803671,Machine Learning Engineer / Инженер по Машинному Обучению (в офис)
122592133,"Python разработчик (Middle), Machine Learning"
122638650,Data Scientist/ML-инженер (OCR)
123266574,ML-инженер
121389302,ML Engineer
123039511,LLM Engineer / AI-инженер
123807810,Ведущий Data Scientist (Reinforcement Learning & Research)
122233457,"Data Engineer / Data scientist (NLP, LLM)"
122767276,Data Scientist / ML-инженер (Тераплан)
122854262,Python Developer (MLOps Team)
123151489,"Middle Data Scientist, RecSys, Ozon Банк"
122991569,"ML/AI Engineer (LLM, внедрение AI-агентов, RAG)"
123534526,Senior Data Scientist (NLP) в Автоматизацию коммуникаций
123396988,Middle Computer Vision Engineer
123885897,Исследователь данных (Data Scientist)
123919034,Data Scientist (Блок Финансы)
123142821,Data Scientist (ML/LLM)
121591197,Data Science (LLM/NLP)
123298542,ML Инженер / Инженер по машинному обучению
122763660,ML-инженер
121133960,"Старший Data Scientist, Формирование лент"
123640777,Middle Data Scientist
123874025,Senior Data Scientist / Инженер машинного обучения в команду моделей для логистики
121151595,Data Scientist
123613102,Data Scientist
123763781,ML Engineer
123504415,Middle ML Engineer
123604644,ML-инженер (машинное обучение)
120338679,ML Engineer / ML инженер
123435105,Middle Data Scientist разработчик NLP/OCR/CV/Audio
122610416,Data Scientist в кредитные риски
123078214,ML engineer
120240958,Data Scientist/Дата-сайентист
123611830,NLP Engineer (Data Science)
123007040,Преподаватель по Data Science
123078511,Data Scientist
123926072,"С++ Программист (ML Engineer / Data Scientist, видеоаналитик)"
123710175,Специалист машинного обучения (Middle ML engineer)
122199850,Data Scientist/ML Engineer
122954318,Senior / Middle Data Scientist в стрим моделирования R'n'D
123673238,Data Scientist
122716928,Middle+ / Senior ML-инженер
121552329,Data Scientist (Продукты на данных.Модели)
122133649,"Директор по развитию бизнеса / BDM (BI,Data Governance, Data Quality, Big Data,Machine Learning)"
123846569,Data Scientist (Моделирование рисков корпоративного кредитования)
122256241,ML-инженер
124022441,Senior Data Scientist
123507416,Middle LLM Researcher / Middle АИ исследователь
123161766,Data analyst / Data scientist
123644060,Инженер по машинному обучению (ML Engineer)
123433013,Data Scientist / CV Researcher
123801379,"Senior ML-engineer, NLP в техподдержке"
123091496,ML engineer
124108202,"Старший Data Scientist, Рекомендации и персонализация"
121692667,Ведущий аналитик DWH + ML инженер
120956505,Аналитик данных
121726560,"Старший Data Scientist, Ранжирование"
112852766,"Старший Data Scientist, Факторы ранжирования"
123359627,Data scientist (Computer vision)
123157611,Data scientist (Центр модельных рисков розничного бизнеса)
123216749,ML Engineer (International AI Brand)
123205401,Data Scientist (LLM)
123826759,"Эксперт/Senior эксперт Продвинутая аналитика и моделирование (Data Scientist, ML-инженер)"
122837835,LLM/ML Engineer
122761351,ML Engineer (Code Assistant ML RnD)
123152613,Team Lead Data Scientist
123136107,"Middle Data Scientist, NLP"
123600743,Head of Data Science (fintech)
123063138,Data Scientist (СберТаргет)
123355243,Junior Machine learning/Data scientist engineer (ML/DS engineer)
123548343,ML Engineer (Middle+)
123600576,"Middle ML engineer в Платформу поиска и рекомендаций [Big Data, МТС Веб Сервисы]"
123589310,Senior QA Engineer Data Science Team
123694055,Data Scientist
123697291,Data scientist/researcher (Сбер)
122152542,Преподаватель в области Data Science и искусственного интеллекта
123739627,Senior/Lead ML Engineer [CICADA8]
124029586,MLops (ML Inference Engineer)
124125549,Data Scientist (Блок Финансы)
123310182,Data Scientist (NLP)
122254541,Team Lead MLOps
123396017,AI/ML Инженер
123815261,ML-Инженер высокоавтоматизированных транспортных средств
123847401,Middle AI Engineer
123310043,Machine Learning Engineer в AI VK
123808528,MLOps инженер
123858033,Team Lead DS NLP
123503621,ML Engineer
123765296,ML Engineer / Инженер машинного обучения
123456244,Data Scientist
122337502,Senior ML Engineer (GigaPlatform Audio)
123395105,Machine Learning engineer (Python)
121392934,Data Scientist
122000776,Deep Learning Engineer / Researcher
123625891,Data Scientist (Middle)
121071193,"Старший Data Scientist, RND проекты поиска"
120382236,ML-инженер
123060968,"Старший Data Scientist, Отбор кандидатов"
