id,name
123029772,Frontend-разработчик
123974292,"Фронтенд Разработчик, Frontend Developer (React)"
123914249,Frontend Разработчик (Vue.js)
123161300,Frontend-разработчик
123053206,Senior Frontend Developer (React + TypeScript)
123970354,Web программист - преподаватель (Frontend)
123262463,Frontend-разработчик (команда платформы)
122949525,Frontend-разработчик
123810589,Frontend-разработчик Vue 3
123161746,"Middle Frontend-разработчик (React, TypeScript)"
123450062,"Frontend-разработчик Typescript, React.js (Екатеринбург)"
122955771,Frontend-разработчик СКЗИ
123997745,HTML-верстальщик
123019998,Junior Frontend Developer
123916305,Front - End (React) Developer Middle
123888631,Junior Frontend/Vue-разработчик
123958356,Frontend-разработчик (Vue)
123739322,Middle Frontend-разработчик (NextJS)
121200573,Frontend-разработчик на React
123464500,Frontend-разработчик
123611656,Junior Frontend разработчик
123939255,Middle+ Frontend-разработчик (AngularJS/React)
123612872,Frontend-разработчик middle
123363565,Frontend разработчик (стажер)
123978150,Senior/Lead Frontend Developer (Vue)
123590510,Frontend-разработчик для AI-чата видеосервиса (React)
123524853,Frontend Engineer (React + Next.js)
123760515,Frontend разработчик (Angular)
123714201,Frontend-разработчик
124033942,Middle Front-End Developer
120465627,"Frontend-разработчик (React, Офис)"
123822218,Frontend-разработчик
122639548,Главный Фронтенд разработчик
123122682,Frontend-разработчик junior+
123817677,Фронтэнд-разработчик
122803966,Frontend (React.JS) developer
123669481,Frontend-разработчик
123328796,Frontend-разработчик React (аккредитованная IT компания)
123909414,"Frontend-разработчик (TypeScript, фреймворки не используются))"
123611110,Frontend-разработчик (Middle/Senior)
123035295,Middle-фронтенд разработчик
123856221,Frontend Developer (Middle+)
123921400,"Senior Frontend-разработчик (VueJS, TypeScript)"
122995062,Frontend-разработчик React (Middle)
123745665,Фронтенд/Frontend разработчик (Middle/Middle+)/Angular
123113687,Frontend-разработчик в офис в Казани
122424451,Middle Frontend developer (Javascript)
123799428,Frontend-разработчик
123352663,Frontend-разработчик (React)
123814866,Frontend-разработчик
123671905,Frontend-разработчик в офисе
124049885,Программист-разработчик/Frontend Middle+/Senior (Vue)
123554806,Junior Game Developer
123691269,Frontend-разработчик middle/senior (React)
120381834,Frontend-разработчик (React)
123594042,Начинающий frontend-разработчик (JavaScript)
123399365,Junior Vue Frontend Разработчик
122996670,Фронтэнд-разработчик
123313342,Старший разработчик frontend
123450606,Frontend-разработчик
123296498,Frontend-разработчик
123616055,Frontend разработчик (Middle/ Senior)
123301408,Middle Frontend Developer
123343033,Frontend developer / Фронтенд-разработчик
123820283,Frontend-разработчик (проектная работа)
123508558,Разработчик web – интерфейсов на React (Frontend React разработчик)
121345843,"Frontend-разработчик (Middle, Middle +)"
123390580,Frontend (React + Vue) разработчик
123998703,Senior Frontend-разработчик React в Кредитные карты
122758847,Frontend-разработчик
123039212,Middle Frontend-разработчик
123387335,Разработчик frontend
123887240,Senior Angular Frontend Developer
121932223,Frontend-разработчик
123465182,Frontend-разработчик
122226593,Программист-стажер Frontend-разработка
123695518,Frontend-разработчик
123361116,"Frontend разработчик (React, Next.js)"
